Дата,Телевизия,Предаване,Кандидат,Партия,Линк
2021-11-02,bTV,Лице в лице,Делян Добрев,32 - ГЕРБ-СДС,https://btvnovinite.bg/predavania/lice-v-lice/deljan-dobrev-pravitelstvoto-trjabva-da-podade-ostavka.html
2021-11-02,БНТ,Денят започва,Татяна Дончева,31 - ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,https://bnt.bg/news/tatyana-doncheva-kandidat-za-naroden-predstavitel-ot-izpravi-sebg-nie-idvame-v306551-299897news.html
2021-11-02,БНТ,Денят започва,Красимир Янков,34 - ПП БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,https://bnt.bg/news/krasimir-yankov-kandidat-za-naroden-predstavitel-ot-balgarska-progresivna-liniya-v306552-299897news.html
2021-11-02,БНТ,БНТ Дебати парламентарни избори,Александър Атанасов ,22 - БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,https://bnt.bg/news/disput-s-uchastieto-na-georgi-georgiev-pp-bno-i-kristiyan-dimitrov-pp-ataka-v306590-299897news.html
2021-11-02,БНТ,БНТ Дебати парламентарни избори,Кристиян Димитров,11 - АТАКА,https://bnt.bg/news/disput-s-uchastieto-na-georgi-georgiev-pp-bno-i-kristiyan-dimitrov-pp-ataka-v306590-299897news.html
2021-11-02,БНТ,Още от деня,Борис Ячев,4 - КП ПАТРИОТИЧЕН ФРОНТ – НФСБ и БДС РАДИКАЛИ и БНДС ЦЕЛОКУПНА БЪЛГАРИЯ,https://bnt.bg/news/oshte-ot-denya-boris-yachev-patriotichen-front-v306609-299897news.html
2021-11-02,БНТ,Още от деня,Георги Неделчев,8 - БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ (БСДД),https://bnt.bg/news/oshte-ot-denya-georgi-nedelchev-ot-balgarski-sayuz-za-direktna-demokraciya-v306610-299897news.html
2021-11-02,БНТ,Референдум,Юлиан Ангелов,21 -  ВМРО-БНД,https://bnt.bg/news/vodachi-na-listi-ot-politicheskite-partii-i-koalicii-predstavyat-svoite-prioriteti-299872news.html
2021-11-02,БНТ,Референдум,Петър Клисаров,29 - ПРЯКА ДЕМОКРАЦИЯ,https://bnt.bg/news/vodachi-na-listi-ot-politicheskite-partii-i-koalicii-predstavyat-svoite-prioriteti-299872news.html
2021-11-02,БНТ,Референдум,Мирослав Паскалев,22 - БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,https://bnt.bg/news/vodachi-na-listi-ot-politicheskite-partii-i-koalicii-predstavyat-svoite-prioriteti-299872news.html
2021-11-02,БНТ,Референдум,Боян Дуранкев,2 - РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,https://bnt.bg/news/vodachi-na-listi-ot-politicheskite-partii-i-koalicii-predstavyat-svoite-prioriteti-299872news.html
2021-11-02,БНТ,Референдум,Цветозар Захариев,13 - ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ“,https://bnt.bg/news/vodachi-na-listi-ot-politicheskite-partii-i-koalicii-predstavyat-svoite-prioriteti-299872news.html
2021-11-02,БНТ,Референдум,Иван Габеров,27 - БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,https://bnt.bg/news/vodachi-na-listi-ot-politicheskite-partii-i-koalicii-predstavyat-svoite-prioriteti-299872news.html
2021-11-02,БНТ,Денят започва,Валери Симеонов,4 - КП ПАТРИОТИЧЕН ФРОНТ – НФСБ и БДС РАДИКАЛИ и БНДС ЦЕЛОКУПНА БЪЛГАРИЯ,https://bnt.bg/news/valeri-simeonov-kandidat-za-prezident-na-koaliciya-patriotichen-front-v306554-299898news.html
2021-11-02,БНТ,Още от деня,Мария Цветкова,21 -  ВМРО-БНД,https://bnt.bg/news/oshte-ot-denya-mariya-cvetkova-kandidat-za-viceprezident-ot-vmro-v306611-299898news.html
2021-11-02,БНТ,Кандидатите,Боян Расате,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/boyan-rasate-i-elena-vatashka-kandidati-za-prezident-i-viceprezident-izdignati-ot-iniciativen-komitet-v306622-299898news.html
2021-11-02,БНТ,Кандидатите,Елена Ваташка,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/boyan-rasate-i-elena-vatashka-kandidati-za-prezident-i-viceprezident-izdignati-ot-iniciativen-komitet-v306622-299898news.html
2021-11-03,БНТ,Денят започва,Цветан Цветанов,7 - НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,https://bnt.bg/news/cvetan-cvetanov-kandidat-za-naroden-predstavitel-ot-kp-nacionalno-obedinenie-na-desnicata-v306642-299943news.html
2021-11-03,БНТ,Денят започва,Мария Колева,20 - ПРАВОТО,https://bnt.bg/news/mariya-koleva-kandidat-za-naroden-predstavitel-ot-pp-pravoto-v306643-299943news.html
2021-11-03,БНТ,Още от деня,Корнелия Нинова,33 - БСП ЗА БЪЛГАРИЯ,https://bnt.bg/news/korneliya-ninova-kandidat-za-naroden-predstavitel-ot-bsp-za-balgariya-v306688-299943news.html
2021-11-03,БНТ,Денят започва,Милен Михов,21 -  ВМРО-БНД,https://bnt.bg/news/doc-milen-mihov-kandidati-za-prezident-izdignat-ot-vmro-balgarsko-nacionalno-dvizhenie-v306644-299944news.html
2021-11-03,БНТ,Още от деня,Йоло Денев,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/yolo-denev-kandidat-za-prezident-izdignat-ot-iniciativen-komitet-v306689-299944news.html
2021-11-03,БНТ,Кандидатите,Цвета Кирилова,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/cveta-kirilova-i-georgi-tutanov-kandidati-za-prezident-i-viceprezident-izdignati-ot-iniciativen-komitet-v306703-299944news.html
2021-11-03,БНТ,Кандидатите,Георги Тутанов,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/cveta-kirilova-i-georgi-tutanov-kandidati-za-prezident-i-viceprezident-izdignati-ot-iniciativen-komitet-v306703-299944news.html
2021-11-04,БНТ,Денят започва,Филип Попов,33 - БСП ЗА БЪЛГАРИЯ,https://bnt.bg/news/filip-popov-kandidat-za-naroden-predstavitel-ot-bsp-za-balgariya-v306723-299982news.html
2021-11-04,БНТ,Денят започва,Борислав Сандов,30 - ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ,https://bnt.bg/news/borislav-sandov-kandidat-za-naroden-predstavitel-ot-demokratichna-balgariya-obedinenie-v306727-299982news.html
2021-11-04,БНТ,БНТ Дебати парламентарни избори,Йордан Йорданов,8 - БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ (БСДД),https://bnt.bg/news/predizboren-disput-yordan-yordanov-ot-balgarski-sayuz-za-direktna-demokraciya-prof-hristo-smolenov-ot-vmro-balgarsko-nacio-v306765-299982news.html
2021-11-04,БНТ,БНТ Дебати парламентарни избори,Христо Смоленов,21 -  ВМРО-БНД,https://bnt.bg/news/predizboren-disput-yordan-yordanov-ot-balgarski-sayuz-za-direktna-demokraciya-prof-hristo-smolenov-ot-vmro-balgarsko-nacio-v306765-299982news.html
2021-11-04,БНТ,БНТ Дебати парламентарни избори,Иван Казаков,29 - ПРЯКА ДЕМОКРАЦИЯ,https://bnt.bg/news/predizboren-disput-yordan-yordanov-ot-balgarski-sayuz-za-direktna-demokraciya-prof-hristo-smolenov-ot-vmro-balgarsko-nacio-v306765-299982news.html
2021-11-04,БНТ,Още от деня,Ивайло Вълчев,24 - ИТН,https://bnt.bg/news/ivailo-valchev-kandidat-za-naroden-predstavitel-ot-pp-ima-takav-narod-v306781-299982news.html
2021-11-04,БНТ,Денят започва,Росен Миленов,0 - НЕЗАВИСИМ КАНДИДАТ,https://bnt.bg/news/rosen-milenov-kandidat-za-prezident-izdignat-ot-iniciativen-komitet-v306730-299986news.html
2021-11-04,БНТ,Още от деня,Георги Георгиев,22 - БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,https://bnt.bg/news/georgi-georgiev-kandidat-za-prezident-pp-bno-v306782-299986news.html
2021-11-04,БНТ,Кандидатите,Мария Колева,20 - ПРАВОТО,https://bnt.bg/news/mariya-koleva-kandidat-za-prezident-pp-pravoto-v306794-299986news.html
2021-11-05,БНТ,Денят започва,Адриан Асенов,11 - АТАКА,https://bnt.bg/news/adrian-asenov-kandidat-za-naroden-predstavitel-na-ataka-v306814-300038news.html
2021-11-05,БНТ,Денят започва,Александър Сиди,21 -  ВМРО-БНД,https://bnt.bg/news/aleksandar-sidi-kandidat-za-naroden-predstavitel-na-vmro-balgarsko-nacionalno-dvizhenie-v306815-300038news.html
2021-11-05,БНТ,Денят започва,Костадин Костадинов,5 - ВЪЗРАЖДАНЕ,https://bnt.bg/news/prezidentski-izbori-2021-05112021-300040news.html
2021-11-03,bTV,Тази сутрин,Волен Сидеров,11 - АТАКА,https://btvnovinite.bg/predavania/tazi-sutrin/siderov-radev-e-osnovnijat-mi-oponent-na-prezidentskite-izborite.html
2021-11-03,bTV,Лице в лице,Христо Иванов,30 - ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ,https://btvnovinite.bg/predavania/lice-v-lice/hristo-ivanov-dajte-ni-mandat-za-da-poluchite-pravitelstvo.html
2021-11-04,bTV,Тази сутрин,Атанас Кънчев,17 - ДПС,https://btvnovinite.bg/predavania/tazi-sutrin/atanas-kanchev-trjabva-da-se-izgrazhdat-mostove-i-da-ima-redovno-pravitelstvo.html
2021-11-04,bTV,Лице в лице,Тошко Йорданов,24 - ИТН,https://btvnovinite.bg/predavania/lice-v-lice/toshko-jordanov-zelenijat-sertifikat-e-praktichna-ideja-no-podnesena-po-neskoposan-nachin.html
2021-11-04,Nova,"""Здравей, България""",Лозан Панов,0 - НЕЗАВИСИМ КАНДИДАТ,https://nova.bg/news/view/2021/11/04/345190/%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0-%D0%B4%D0%B0-%D0%B8%D0%BC%D0%B0-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%81%D1%82%D0%B2%D0%BE-%D0%B5-%D0%B2%D0%B0%D0%B6%D0%BD%D0%BE-%D0%BA%D0%BE%D0%B9-%D1%89%D0%B5-%D0%B5-%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82/
